review_id,customer_id,product_id,review_text,rating,purchase_category,purchase_amount
R00098,C00098,P0098,"Broke within a week, very disappointed.",2,Home Decor,358.29
R00099,C00099,P0099,"It does what it says, but nothing exceptional.",3,Electronics,442.5
R00100,C00100,P0100,"Broke within a week, very disappointed.",2,Toys,267.78
R00101,C00101,P0101,"Worst purchase ever, do not recommend.",2,Electronics,450.95
R00102,C00102,P0102,"Five stars, would buy again.",5,Clothing,297.88
R00103,C00103,P0103,"Five stars, would buy again.",5,Books,481.14
R00104,C00104,P0104,"Not bad, but not great either.",3,Electronics,294.88
R00105,C00105,P0105,"Great product, works perfectly!",5,Clothing,168.37
R00106,C00106,P0106,"Great product, works perfectly!",4,Clothing,229.26
R00107,C00107,P0107,"Exceeded my expectations, excellent service.",5,Clothing,415.24
R00108,C00108,P0108,Amazing quality and very durable.,4,Home Decor,299.16
R00109,C00109,P0109,"Average quality, nothing special.",3,Home Decor,331.96
R00110,C00110,P0110,"Not worth the money, poor quality.",2,Electronics,111.72
R00111,C00111,P0111,"Broke within a week, very disappointed.",2,Electronics,227.28
R00112,C00112,P0112,"Five stars, would buy again.",5,Electronics,90.21
R00113,C00113,P0113,"Exceeded my expectations, excellent service.",4,Books,419.16
R00114,C00114,P0114,"Worst purchase ever, do not recommend.",1,Books,225.31
R00115,C00115,P0115,"Broke within a week, very disappointed.",1,Electronics,161.29
R00116,C00116,P0116,"Terrible experience, never buying again.",1,Toys,305.11
R00117,C00117,P0117,"Shipping took too long, bad customer service.",2,Home Decor,463.48
R00118,C00118,P0118,"Terrible experience, never buying again.",2,Home Decor,400.16
R00119,C00119,P0119,"Great product, works perfectly!",4,Clothing,418.63
R00120,C00120,P0120,"Five stars, would buy again.",5,Electronics,102.15
R00121,C00121,P0121,"Terrible experience, never buying again.",1,Books,151.29
R00122,C00122,P0122,"Loved it, highly recommend.",4,Clothing,387.42
R00123,C00123,P0123,"Great product, works perfectly!",4,Home Decor,235.11
R00124,C00124,P0124,"Great product, works perfectly!",5,Electronics,50.06
R00125,C00125,P0125,"Loved it, highly recommend.",4,Home Decor,292.79
R00126,C00126,P0126,Amazing quality and very durable.,5,Toys,399.32
R00127,C00127,P0127,"Average quality, nothing special.",3,Clothing,67.76
R00128,C00128,P0128,"Loved it, highly recommend.",5,Electronics,31.63
R00129,C00129,P0129,"Not worth the money, poor quality.",1,Toys,369.82
R00130,C00130,P0130,"Not worth the money, poor quality.",1,Toys,269.1
R00131,C00131,P0131,"Five stars, would buy again.",5,Books,429.3
R00132,C00132,P0132,"Average quality, nothing special.",3,Electronics,282.23
R00133,C00133,P0133,"It's okay, not the best.",3,Books,200.33
R00134,C00134,P0134,"Not worth the money, poor quality.",1,Toys,326.58
R00135,C00135,P0135,"Not bad, but not great either.",3,Electronics,357.66
R00136,C00136,P0136,"Five stars, would buy again.",4,Electronics,409.27
R00137,C00137,P0137,"Worst purchase ever, do not recommend.",2,Electronics,31.15
R00138,C00138,P0138,"Great product, works perfectly!",4,Electronics,94.0
R00139,C00139,P0139,"Shipping took too long, bad customer service.",1,Books,438.52
R00140,C00140,P0140,"Not bad, but not great either.",3,Home Decor,400.48
R00141,C00141,P0141,"Great product, works perfectly!",5,Electronics,124.04
R00142,C00142,P0142,"Shipping took too long, bad customer service.",2,Clothing,30.13
R00143,C00143,P0143,"Exceeded my expectations, excellent service.",5,Electronics,429.86
R00144,C00144,P0144,"Worst purchase ever, do not recommend.",1,Books,274.12
R00145,C00145,P0145,"It's okay, not the best.",3,Electronics,41.72
R00146,C00146,P0146,"Five stars, would buy again.",5,Home Decor,271.81
R00147,C00147,P0147,Amazing quality and very durable.,5,Toys,46.37
R00148,C00148,P0148,"Shipping took too long, bad customer service.",2,Books,264.91
R00149,C00149,P0149,"Worst purchase ever, do not recommend.",2,Electronics,51.3
R00150,C00150,P0150,"Neutral experience, might buy again.",3,Electronics,134.26
R00151,C00151,P0151,"Worst purchase ever, do not recommend.",2,Electronics,276.71
R00152,C00152,P0152,"Five stars, would buy again.",5,Toys,414.91
R00153,C00153,P0153,"Five stars, would buy again.",5,Electronics,26.79
R00154,C00154,P0154,"Worst purchase ever, do not recommend.",1,Home Decor,247.8
R00155,C00155,P0155,Amazing quality and very durable.,5,Books,419.76
R00156,C00156,P0156,"It's okay, not the best.",3,Books,74.16
R00157,C00157,P0157,"Exceeded my expectations, excellent service.",4,Electronics,396.06
R00158,C00158,P0158,"Shipping took too long, bad customer service.",1,Toys,350.89
R00159,C00159,P0159,"Worst purchase ever, do not recommend.",1,Books,49.24
R00160,C00160,P0160,"It does what it says, but nothing exceptional.",3,Clothing,78.17
R00161,C00161,P0161,"Average quality, nothing special.",3,Toys,223.96
R00162,C00162,P0162,"Broke within a week, very disappointed.",2,Toys,213.95
R00163,C00163,P0163,"Not worth the money, poor quality.",1,Electronics,318.76
R00164,C00164,P0164,"Not worth the money, poor quality.",2,Books,44.68
R00165,C00165,P0165,"Great product, works perfectly!",5,Books,381.27
R00166,C00166,P0166,"Terrible experience, never buying again.",1,Books,233.15
R00167,C00167,P0167,"Shipping took too long, bad customer service.",1,Books,342.26
R00168,C00168,P0168,Amazing quality and very durable.,4,Toys,496.41
R00169,C00169,P0169,"Broke within a week, very disappointed.",1,Toys,172.15
R00170,C00170,P0170,"Loved it, highly recommend.",5,Electronics,21.39
R00171,C00171,P0171,"Not worth the money, poor quality.",2,Home Decor,10.71
R00172,C00172,P0172,"Broke within a week, very disappointed.",2,Electronics,18.52
R00173,C00173,P0173,"Five stars, would buy again.",4,Books,334.12
R00174,C00174,P0174,Amazing quality and very durable.,5,Toys,16.98
R00175,C00175,P0175,"Broke within a week, very disappointed.",2,Home Decor,405.75
R00176,C00176,P0176,"Not bad, but not great either.",3,Toys,20.02
R00177,C00177,P0177,"Exceeded my expectations, excellent service.",5,Clothing,164.64
R00178,C00178,P0178,"Loved it, highly recommend.",5,Electronics,379.99
R00179,C00179,P0179,"Loved it, highly recommend.",4,Electronics,404.95
R00180,C00180,P0180,"Broke within a week, very disappointed.",2,Electronics,294.99
R00181,C00181,P0181,"Great product, works perfectly!",5,Toys,45.9
R00182,C00182,P0182,"Shipping took too long, bad customer service.",2,Electronics,99.26
R00183,C00183,P0183,"It's okay, not the best.",3,Toys,476.78
R00184,C00184,P0184,Amazing quality and very durable.,4,Clothing,53.64
R00185,C00185,P0185,"Average quality, nothing special.",3,Toys,392.91
R00186,C00186,P0186,"Exceeded my expectations, excellent service.",4,Clothing,271.82
R00187,C00187,P0187,"Great product, works perfectly!",5,Toys,188.91
R00188,C00188,P0188,"Five stars, would buy again.",4,Home Decor,394.8
R00189,C00189,P0189,"Terrible experience, never buying again.",1,Home Decor,375.49
R00190,C00190,P0190,"Not worth the money, poor quality.",2,Books,304.41
R00191,C00191,P0191,"Not worth the money, poor quality.",2,Books,361.02
R00192,C00192,P0192,"Worst purchase ever, do not recommend.",1,Toys,494.26
R00193,C00193,P0193,"Average quality, nothing special.",3,Books,159.86
R00194,C00194,P0194,"Worst purchase ever, do not recommend.",1,Clothing,337.73
R00195,C00195,P0195,"Great product, works perfectly!",5,Clothing,398.37
R00196,C00196,P0196,"Great product, works perfectly!",5,Clothing,254.49
R00197,C00197,P0197,"Not worth the money, poor quality.",2,Electronics,148.48
R00198,C00198,P0198,"Five stars, would buy again.",5,Electronics,149.61
R00199,C00199,P0199,"Shipping took too long, bad customer service.",2,Clothing,83.84
R00200,C00200,P0200,"Terrible experience, never buying again.",1,Home Decor,275.16
R00201,C00201,P0201,"Terrible experience, never buying again.",1,Toys,78.23
R00202,C00202,P0202,"Not worth the money, poor quality.",1,Books,335.73
R00203,C00203,P0203,"Terrible experience, never buying again.",2,Toys,272.31
R00204,C00204,P0204,"Terrible experience, never buying again.",1,Home Decor,147.16
R00205,C00205,P0205,"Terrible experience, never buying again.",1,Home Decor,263.5
R00206,C00206,P0206,"It's okay, not the best.",3,Toys,385.15
R00207,C00207,P0207,"Worst purchase ever, do not recommend.",1,Toys,79.54
R00208,C00208,P0208,"Loved it, highly recommend.",5,Clothing,413.06
R00209,C00209,P0209,"Worst purchase ever, do not recommend.",2,Clothing,148.04
R00210,C00210,P0210,"It's okay, not the best.",3,Books,312.72
R00211,C00211,P0211,"Great product, works perfectly!",4,Home Decor,26.02
R00212,C00212,P0212,"Shipping took too long, bad customer service.",2,Toys,192.83
R00213,C00213,P0213,"Great product, works perfectly!",5,Home Decor,24.99
R00214,C00214,P0214,"Broke within a week, very disappointed.",2,Home Decor,220.17
R00215,C00215,P0215,"Five stars, would buy again.",5,Home Decor,17.99
R00216,C00216,P0216,Amazing quality and very durable.,5,Electronics,301.61
R00217,C00217,P0217,"Exceeded my expectations, excellent service.",4,Toys,6.38
R00218,C00218,P0218,"Shipping took too long, bad customer service.",2,Toys,134.34
R00219,C00219,P0219,"Loved it, highly recommend.",4,Clothing,126.58
R00220,C00220,P0220,Amazing quality and very durable.,4,Electronics,175.95
R00221,C00221,P0221,"Worst purchase ever, do not recommend.",2,Clothing,174.04
R00222,C00222,P0222,"Not worth the money, poor quality.",1,Toys,183.93
R00223,C00223,P0223,"Shipping took too long, bad customer service.",1,Toys,260.37
R00224,C00224,P0224,"Five stars, would buy again.",4,Electronics,267.37
R00225,C00225,P0225,"It does what it says, but nothing exceptional.",3,Books,205.57
R00226,C00226,P0226,"Loved it, highly recommend.",4,Home Decor,283.69
R00227,C00227,P0227,"Loved it, highly recommend.",4,Clothing,121.72
R00228,C00228,P0228,Amazing quality and very durable.,4,Clothing,78.89
R00229,C00229,P0229,"Not worth the money, poor quality.",1,Clothing,138.36
R00230,C00230,P0230,"Shipping took too long, bad customer service.",1,Electronics,117.78
R00231,C00231,P0231,"Shipping took too long, bad customer service.",1,Home Decor,164.21
R00232,C00232,P0232,"Loved it, highly recommend.",4,Clothing,332.36
R00233,C00233,P0233,"Neutral experience, might buy again.",3,Books,186.27
R00234,C00234,P0234,"Worst purchase ever, do not recommend.",1,Books,411.68
R00235,C00235,P0235,"Terrible experience, never buying again.",2,Toys,393.64
R00236,C00236,P0236,"Shipping took too long, bad customer service.",2,Home Decor,190.79
R00237,C00237,P0237,"Broke within a week, very disappointed.",2,Toys,25.73
R00238,C00238,P0238,"Great product, works perfectly!",5,Toys,358.57
R00239,C00239,P0239,Amazing quality and very durable.,4,Home Decor,314.38
R00240,C00240,P0240,"Shipping took too long, bad customer service.",2,Toys,31.25
R00241,C00241,P0241,"Five stars, would buy again.",4,Home Decor,107.92
R00242,C00242,P0242,"Worst purchase ever, do not recommend.",2,Books,208.04
R00243,C00243,P0243,"It does what it says, but nothing exceptional.",3,Home Decor,428.73
R00244,C00244,P0244,"Great product, works perfectly!",4,Clothing,281.34
R00245,C00245,P0245,"Not worth the money, poor quality.",2,Electronics,310.96
R00246,C00246,P0246,"Worst purchase ever, do not recommend.",1,Books,394.33
R00247,C00247,P0247,"Loved it, highly recommend.",4,Electronics,13.41
R00248,C00248,P0248,"Exceeded my expectations, excellent service.",5,Books,314.08
R00249,C00249,P0249,"Worst purchase ever, do not recommend.",1,Clothing,319.94
R00250,C00250,P0250,"Worst purchase ever, do not recommend.",1,Electronics,469.61
R00251,C00251,P0251,Amazing quality and very durable.,5,Clothing,462.7
R00252,C00252,P0252,"Broke within a week, very disappointed.",1,Clothing,96.46
R00253,C00253,P0253,"Broke within a week, very disappointed.",1,Books,36.93
R00254,C00254,P0254,"Terrible experience, never buying again.",2,Toys,137.57
R00255,C00255,P0255,"Broke within a week, very disappointed.",2,Clothing,28.26
R00256,C00256,P0256,"Great product, works perfectly!",4,Clothing,65.59
R00257,C00257,P0257,"Five stars, would buy again.",4,Books,198.88
R00258,C00258,P0258,"Loved it, highly recommend.",4,Home Decor,418.27
R00259,C00259,P0259,"Worst purchase ever, do not recommend.",2,Books,66.51
R00260,C00260,P0260,"Five stars, would buy again.",4,Clothing,280.12
R00261,C00261,P0261,"Not worth the money, poor quality.",1,Books,267.0
R00262,C00262,P0262,"Broke within a week, very disappointed.",2,Clothing,7.46
R00263,C00263,P0263,"Exceeded my expectations, excellent service.",4,Electronics,314.66
R00264,C00264,P0264,"Broke within a week, very disappointed.",1,Home Decor,133.04
R00265,C00265,P0265,Amazing quality and very durable.,4,Electronics,429.19
R00266,C00266,P0266,"Not bad, but not great either.",3,Electronics,92.84
R00267,C00267,P0267,"Exceeded my expectations, excellent service.",4,Home Decor,474.48
R00268,C00268,P0268,"Neutral experience, might buy again.",3,Electronics,251.73
R00269,C00269,P0269,Amazing quality and very durable.,4,Toys,465.8
R00270,C00270,P0270,"Exceeded my expectations, excellent service.",5,Electronics,260.25
R00271,C00271,P0271,"Loved it, highly recommend.",4,Clothing,192.15
R00272,C00272,P0272,"Worst purchase ever, do not recommend.",2,Home Decor,383.11
R00273,C00273,P0273,"Broke within a week, very disappointed.",2,Books,266.52
R00274,C00274,P0274,"Neutral experience, might buy again.",3,Clothing,36.76
R00275,C00275,P0275,"Terrible experience, never buying again.",2,Toys,137.56
R00276,C00276,P0276,"Terrible experience, never buying again.",1,Home Decor,81.66
R00277,C00277,P0277,"Great product, works perfectly!",5,Electronics,37.44
R00278,C00278,P0278,"Loved it, highly recommend.",5,Electronics,349.84
R00279,C00279,P0279,"Terrible experience, never buying again.",1,Clothing,311.44
R00280,C00280,P0280,"It does what it says, but nothing exceptional.",3,Clothing,151.1
R00281,C00281,P0281,"Worst purchase ever, do not recommend.",1,Home Decor,89.58
R00282,C00282,P0282,"Terrible experience, never buying again.",1,Clothing,287.85
R00283,C00283,P0283,"Great product, works perfectly!",5,Clothing,336.4
R00284,C00284,P0284,Amazing quality and very durable.,4,Home Decor,366.62
R00285,C00285,P0285,"Five stars, would buy again.",5,Clothing,206.78
R00286,C00286,P0286,"Great product, works perfectly!",5,Home Decor,83.5
R00287,C00287,P0287,"Not worth the money, poor quality.",2,Toys,125.14
R00288,C00288,P0288,"Terrible experience, never buying again.",1,Clothing,212.8
R00289,C00289,P0289,"Exceeded my expectations, excellent service.",5,Clothing,359.91
R00290,C00290,P0290,"Terrible experience, never buying again.",1,Clothing,187.29
R00291,C00291,P0291,"Shipping took too long, bad customer service.",2,Electronics,363.99
R00292,C00292,P0292,"Not worth the money, poor quality.",1,Clothing,266.52
R00293,C00293,P0293,Amazing quality and very durable.,5,Home Decor,110.87
R00294,C00294,P0294,"Broke within a week, very disappointed.",1,Electronics,158.24
R00295,C00295,P0295,"Broke within a week, very disappointed.",2,Electronics,390.26
R00296,C00296,P0296,"Five stars, would buy again.",4,Clothing,45.67
R00297,C00297,P0297,"Terrible experience, never buying again.",1,Books,437.35
R00298,C00298,P0298,"Five stars, would buy again.",5,Electronics,411.91
R00299,C00299,P0299,"Broke within a week, very disappointed.",2,Home Decor,149.35
R00300,C00300,P0300,"Great product, works perfectly!",5,Clothing,491.19
R00301,C00301,P0301,"Loved it, highly recommend.",5,Home Decor,197.99
R00302,C00302,P0302,"Broke within a week, very disappointed.",1,Books,180.56
R00303,C00303,P0303,Amazing quality and very durable.,5,Clothing,376.4
R00304,C00304,P0304,"Worst purchase ever, do not recommend.",1,Home Decor,380.04
R00305,C00305,P0305,"Loved it, highly recommend.",4,Home Decor,433.81
R00306,C00306,P0306,"Five stars, would buy again.",5,Clothing,25.95
R00307,C00307,P0307,"Exceeded my expectations, excellent service.",5,Toys,204.62
R00308,C00308,P0308,"Loved it, highly recommend.",5,Toys,118.39
R00309,C00309,P0309,"It's okay, not the best.",3,Books,339.5
R00310,C00310,P0310,"It's okay, not the best.",3,Electronics,173.27
R00311,C00311,P0311,"Terrible experience, never buying again.",2,Electronics,343.18
R00312,C00312,P0312,"It's okay, not the best.",3,Clothing,150.45
R00313,C00313,P0313,"Terrible experience, never buying again.",2,Clothing,479.81
R00314,C00314,P0314,"It does what it says, but nothing exceptional.",3,Clothing,456.16
R00315,C00315,P0315,"Great product, works perfectly!",4,Clothing,16.52
R00316,C00316,P0316,"Shipping took too long, bad customer service.",2,Toys,46.88
R00317,C00317,P0317,"It does what it says, but nothing exceptional.",3,Books,191.75
R00318,C00318,P0318,"Exceeded my expectations, excellent service.",4,Home Decor,208.54
R00319,C00319,P0319,"Average quality, nothing special.",3,Home Decor,143.49
R00320,C00320,P0320,"Terrible experience, never buying again.",1,Toys,148.85
R00321,C00321,P0321,"Shipping took too long, bad customer service.",1,Books,289.98
R00322,C00322,P0322,"Five stars, would buy again.",4,Clothing,408.29
R00323,C00323,P0323,"Exceeded my expectations, excellent service.",5,Electronics,255.08
R00324,C00324,P0324,"Great product, works perfectly!",5,Toys,459.44
R00325,C00325,P0325,"Terrible experience, never buying again.",1,Toys,387.16
R00326,C00326,P0326,"Not worth the money, poor quality.",1,Clothing,366.74
R00327,C00327,P0327,"Exceeded my expectations, excellent service.",5,Toys,187.34
R00328,C00328,P0328,"Terrible experience, never buying again.",2,Home Decor,280.26
R00329,C00329,P0329,"Loved it, highly recommend.",5,Clothing,252.98
R00330,C00330,P0330,"It does what it says, but nothing exceptional.",3,Home Decor,93.34
R00331,C00331,P0331,"Broke within a week, very disappointed.",2,Clothing,491.24
R00332,C00332,P0332,"Neutral experience, might buy again.",3,Electronics,169.12
R00333,C00333,P0333,"Not worth the money, poor quality.",1,Home Decor,486.38
R00334,C00334,P0334,"Terrible experience, never buying again.",2,Clothing,235.51
R00335,C00335,P0335,"Neutral experience, might buy again.",3,Toys,416.72
R00336,C00336,P0336,"It does what it says, but nothing exceptional.",3,Toys,35.46
R00337,C00337,P0337,"Shipping took too long, bad customer service.",2,Books,345.69
R00338,C00338,P0338,"Loved it, highly recommend.",4,Clothing,23.58
R00339,C00339,P0339,"Exceeded my expectations, excellent service.",5,Electronics,344.98
R00340,C00340,P0340,"It's okay, not the best.",3,Books,33.47
R00341,C00341,P0341,"Exceeded my expectations, excellent service.",5,Toys,427.22
R00342,C00342,P0342,"Loved it, highly recommend.",5,Electronics,123.21
R00343,C00343,P0343,"Terrible experience, never buying again.",1,Clothing,458.66
R00344,C00344,P0344,Amazing quality and very durable.,5,Toys,108.42
R00345,C00345,P0345,"Average quality, nothing special.",3,Books,383.7
R00346,C00346,P0346,"Worst purchase ever, do not recommend.",1,Toys,180.76
R00347,C00347,P0347,"Worst purchase ever, do not recommend.",2,Home Decor,415.12
R00348,C00348,P0348,"Not bad, but not great either.",3,Books,132.57
R00349,C00349,P0349,"Terrible experience, never buying again.",1,Toys,160.96
R00350,C00350,P0350,"Broke within a week, very disappointed.",1,Books,355.89
R00351,C00351,P0351,"Five stars, would buy again.",5,Clothing,200.39
R00352,C00352,P0352,"Worst purchase ever, do not recommend.",2,Home Decor,114.83
R00353,C00353,P0353,"Average quality, nothing special.",3,Home Decor,75.0
R00354,C00354,P0354,"It does what it says, but nothing exceptional.",3,Toys,55.58
R00355,C00355,P0355,"Great product, works perfectly!",5,Books,51.81
R00356,C00356,P0356,"Shipping took too long, bad customer service.",2,Books,301.93
R00357,C00357,P0357,"It's okay, not the best.",3,Books,265.47
R00358,C00358,P0358,"Broke within a week, very disappointed.",2,Home Decor,362.02
R00359,C00359,P0359,"Average quality, nothing special.",3,Toys,394.75
R00360,C00360,P0360,"Five stars, would buy again.",5,Books,274.47
R00361,C00361,P0361,"Exceeded my expectations, excellent service.",4,Toys,305.2
R00362,C00362,P0362,"It's okay, not the best.",3,Electronics,103.32
R00363,C00363,P0363,"Not worth the money, poor quality.",1,Clothing,298.69
R00364,C00364,P0364,"Shipping took too long, bad customer service.",1,Clothing,317.28
R00365,C00365,P0365,Amazing quality and very durable.,4,Clothing,103.01
R00366,C00366,P0366,"Not bad, but not great either.",3,Books,112.31
R00367,C00367,P0367,"Not worth the money, poor quality.",1,Clothing,205.47
R00368,C00368,P0368,"Worst purchase ever, do not recommend.",1,Books,164.89
R00369,C00369,P0369,"It's okay, not the best.",3,Clothing,116.73
R00370,C00370,P0370,"Not worth the money, poor quality.",2,Home Decor,441.78
R00371,C00371,P0371,"Average quality, nothing special.",3,Books,428.13
R00372,C00372,P0372,"Terrible experience, never buying again.",2,Books,363.06
R00373,C00373,P0373,"Great product, works perfectly!",4,Toys,478.32
R00374,C00374,P0374,"Great product, works perfectly!",5,Clothing,459.47
R00375,C00375,P0375,Amazing quality and very durable.,4,Home Decor,307.88
R00376,C00376,P0376,"Exceeded my expectations, excellent service.",5,Home Decor,254.92
R00377,C00377,P0377,"Broke within a week, very disappointed.",1,Toys,380.41
R00378,C00378,P0378,"Broke within a week, very disappointed.",1,Electronics,167.08
R00379,C00379,P0379,"Terrible experience, never buying again.",1,Clothing,197.72
R00380,C00380,P0380,"Shipping took too long, bad customer service.",2,Electronics,233.55
